Question,Class
Who was the first woman killed in the Vietnam War?,HUM
What planet has the strongest magnetic field of all the planets?,UNC
Who is the governor of Alaska?,HUM
What year did Mussolini seize power in Italy?,UNC
What is the capital of Persia?,UNC
Where is the Eiffel Tower?,LOC
How man hearts does an octopus have?,DESC
What is pneumonia?,UNC
What is the deepest lake in the US?,UNC
What is a fuel cell?,UNC
Who was the first U.S. president to appear on TV?,HUM
Where is the Little League Museum?,LOC
What are the two types of twins?,UNC
What is the brightest star?,UNC
What is diabetes?,UNC
When was President Kennedy shot?,UNC
What is TMJ?,UNC
What color is yak milk?,UNC
What date was Dwight D. Eisenhower born?,UNC
What does the technical term ISDN mean?,UNC
Why is the sun yellow?,DESC
What is the conversion rate between dollars and pounds?,UNC
When was Abraham Lincoln born?,UNC
What is the Milky Way?,UNC
What is mold?,UNC
What year was Mozart born?,UNC
What is a group of frogs called?,UNC
What is the name of William Penn's ship?,UNC
What is the melting point of gold?,UNC
What is the street address of the White House?,UNC
What is semolina?,UNC
What fruit is Melba sauce made from?,UNC
What is Ursa Major?,UNC
What is the percentage of water content in the human body?,UNC
How much does water weigh?,DESC
What was President Lyndon Johnson's reform program called?,UNC
"What is the murder rate in Windsor, Ontario?",UNC
Who is the only president to serve 2 non-consecutive terms?,HUM
What is the population of Australia? ,UNC
Who painted the ceiling of the Sistine Chapel?,HUM
Name a stimulant.,UNC
What is the effect of volcanoes on the climate?,UNC
What year did the Andy Griffith show begin?,UNC
What is acid rain?,UNC
What is the date of Mexico's independence?,UNC
What is the location of Lake Champlain?,UNC
What is the Illinois state flower?,UNC
What is Maryland's state bird?,UNC
What is quicksilver?,UNC
"Who wrote ""The Devine Comedy""?",HUM
What is the speed of light?,UNC
What is the width of a football field?,UNC
Why in tennis are zero points called love?,DESC
What kind of dog was Toto in the Wizard of Oz?,UNC
What is a thyroid?,UNC
What does ciao mean?,UNC
What is the only artery that carries blue blood from the heart to the lungs?,UNC
How often does Old Faithful erupt at Yellowstone National Park?,DESC
What is acetic acid?,UNC
"What is the elevation of St. Louis, MO?",UNC
What are the colors of the German flag?,UNC
What is the Moulin Rouge?,UNC
What soviet seaport is on the Black Sea?,UNC
What is the atomic weight of silver?,UNC
What currency do they use in Brazil?,UNC
What are pathogens?,UNC
What is mad cow disease?,UNC
Name a food high in zinc. ,UNC
When did North Carolina enter the union?,UNC
Where do apple snails live?,LOC
What are ethics?,UNC
What does CPR stand for?,UNC
What is an annuity?,UNC
Who killed John F. Kennedy?,HUM
Who was the first vice president of the U.S.?,HUM
What birthstone is turquoise?,UNC
Who was the first US President to ride in an automobile to his inauguration?,HUM
How old was the youngest president of the United States?,DESC
When was Ulysses S. Grant born?,UNC
What is Muscular Dystrophy?,UNC
Who lived in the Neuschwanstein castle?,HUM
What is propylene glycol?,UNC
What is a panic disorder?,UNC
Who invented the instant Polaroid camera?,HUM
What is a carcinogen?,UNC
What is a baby lion called?,UNC
What is the world's population?,UNC
What is nepotism?,UNC
What is die-casting?,UNC
What is myopia?,UNC
What is the sales tax rate in New York?,UNC
Developing nations comprise what percentage of the world's population?,UNC
What is the fourth highest mountain in the world?,UNC
What is Shakespeare's nickname?,UNC
What is the heaviest naturally occurring element?,UNC
When is Father's Day?,UNC
What does the acronym NASA stand for?,UNC
How long is the Columbia River in miles?,DESC
"What city's newspaper is called ""The Star""?",UNC
What is carbon dioxide?,UNC
Where is the Mason/Dixon line?,LOC
When was the Boston tea party?,UNC
What is metabolism?,UNC
"Which U.S.A. president appeared on ""Laugh-In""?",UNC
What are cigarettes made of?,UNC
What is the capital of Zimbabwe?,UNC
What does NASA stand for?,UNC
What is the state flower of Michigan?,UNC
What are semiconductors?,UNC
What is nuclear power?,UNC
What is a tsunami?,UNC
Who is the congressman from state of Texas on the armed forces committee?,HUM
Who was president in 1913?,HUM
When was the first kidney transplant?,UNC
What are Canada's two territories?,UNC
What was the name of the plane Lindbergh flew solo across the Atlantic?,UNC
What is genocide?,UNC
What continent is Argentina on?,UNC
What monastery was raided by Vikings in the late eighth century?,UNC
What is an earthquake?,UNC
Where is the tallest roller coaster located?,LOC
What are enzymes?,UNC
Who discovered oxygen?,HUM
What is bangers and mash?,UNC
What is the name given to the Tiger at Louisiana State University?,UNC
Where are the British crown jewels kept?,LOC
Who was the first person to reach the North Pole?,HUM
What is an ulcer?,UNC
What is vertigo?,UNC
What is the spirometer test?,UNC
When is the official first day of summer?,UNC
What does the abbreviation SOS mean?,UNC
What is the smallest bird in Britain?,UNC
Who invented Trivial Pursuit?,HUM
What gasses are in the troposphere?,UNC
Which country has the most water pollution?,UNC
What is the scientific name for elephant?,UNC
"Who is the actress known for her role in the movie ""Gypsy""?",HUM
What breed of hunting dog did the Beverly Hillbillies own?,UNC
What is the rainiest place on Earth?,UNC
Who was the first African American to win the Nobel Prize in literature?,HUM
When is St. Patrick's Day?,UNC
What was FDR's dog's name?,UNC
What colors need to be mixed to get the color pink?,UNC
What is the most popular sport in Japan?,UNC
What is the active ingredient in baking soda?,UNC
When was Thomas Jefferson born?,UNC
How cold should a refrigerator be?,DESC
When was the telephone invented?,UNC
What is the most common eye color?,UNC
Where was the first golf course in the United States?,LOC
What is schizophrenia?,UNC
What is angiotensin?,UNC
What did Jesse Jackson organize?,UNC
What is New York's state bird?,UNC
What is the National Park in Utah?,UNC
What is Susan B. Anthony's birthday?,UNC
In which state would you find the Catskill Mountains?,UNC
What do you call a word that is spelled the same backwards and forwards?,UNC
What are pediatricians?,UNC
"What chain store is headquartered in Bentonville, Arkansas?",UNC
What are solar cells?,UNC
What is compounded interest?,UNC
What are capers?,UNC
What is an antigen?,UNC
What currency does Luxembourg use?,UNC
What is the population of Venezuela?,UNC
What type of polymer is used for bulletproof vests?,UNC
What currency does Argentina use?,UNC
What is a thermometer?,UNC
What Canadian city has the largest population?,UNC
What color are crickets?,UNC
Which country gave New York the Statue of Liberty?,UNC
What was the name of the first U.S. satellite sent into space?,UNC
What precious stone is a form of pure carbon?,UNC
What kind of gas is in a fluorescent bulb?,UNC
What is rheumatoid arthritis?,UNC
"What river runs through Rowe, Italy?",UNC
What is cerebral palsy?,UNC
"What city is also known as ""The Gateway to the West""?",UNC
How far away is the moon?,DESC
What is the source of natural gas?,UNC
What is pectin? ,UNC
What is bio-diversity?,UNC
What's the easiest way to remove wallpaper?,UNC
What year did the Titanic start on its journey?,UNC
How much of an apple is water?,DESC
Who was the 22nd President of the US?,HUM
What is the money they use in Zambia?,UNC
How many feet in a mile?,DESC
What is the birthstone of October?,UNC
What is e-coli?,UNC
Where is Belize located?,LOC
How much folic acid should an expectant mother get daily?,DESC
What type of bridge is the Golden Gate Bridge?,UNC
What is the population of the Bahamas?,UNC
How far away is the moon?,DESC
What is Francis Scott Key best known for?,UNC
What state has the most Indians?,UNC
Who invented the paper clip?,HUM
How many dogs pull a sled in the Iditarod?,DESC
Where did bocci originate?,LOC
Who invented the electric guitar?,HUM
Name a flying mammal.,UNC
How many hexagons are on a soccer ball?,DESC
Who is the leader of India?,HUM
What is the primary language of the Philippines?,UNC
What is the habitat of the chickadee?,UNC
Who was Whitcomb Judson?,HUM
What is the population of Japan?,UNC
Who is the prime minister of Australia?,HUM
Who killed Martin Luther King?,HUM
Who is Anubis?,HUM
Where's Montenegro?,UNC
What does laser stand for?,UNC
Who is the Greek God of the Sea?,HUM
Where is the Danube? ,LOC
Where does dew come from?,LOC
What is platinum?,UNC
Who is the fastest swimmer in the world?,HUM
When did the vesuvius last erupt?,UNC
Who was the president of Vichy France?,HUM
Who invented television?,HUM
Who made the first airplane?,HUM
Who made the first airplane that could fly?,HUM
How many astronauts have been on the moon?,DESC
Who is Coronado?,HUM
Name one of the major gods of Hinduism?,UNC
What does the abbreviation OAS stand for?,UNC
Who is Barbara Jordan?,HUM
How many years ago did the ship Titanic sink?,DESC
What is a caldera?,UNC
What was the name of the famous battle in 1836 between Texas and Mexico?,UNC
Where did the ukulele originate?,LOC
Who invented baseball?,HUM
Where can you find the Venus flytrap?,LOC
What did Vasco da Gama discover?,UNC
Who won the Battle of Gettysburg?,HUM
What is the largest snake in the world?,UNC
Where is the Valley of the Kings?,LOC
Where did the Maya people live?,LOC
How many people live in Chile?,DESC
When was the first flush toilet invented?,UNC
Who is William Wordsworth?,HUM
What is California's state bird?,UNC
Who thought of teaching people to tie their shoe laces?,HUM
Who is buried in the great pyramid of Giza?,HUM
What do penguins eat?,UNC
Where do lobsters like to live?,LOC
What are birds descendents of?,UNC
What does NAFTA stand for?,UNC
What company sells the most greeting cards?,UNC
What is the name of the longest ruling dynasty of Japan?,UNC
When was Babe Ruth born?,UNC
Who wrote the Farmer's Almanac?,HUM
What's the farthest planet from the sun?,UNC
Where was Pythagoras born?,LOC
What is the name for clouds that produce rain?,UNC
Who killed Caesar?,HUM
Who was Picasso?,HUM
Where is the Orinoco?,LOC
How tall is the giraffe?,DESC
Where are there aborigines?,LOC
Who was the first U.S. president ever to resign?,HUM
Who invented the game Scrabble?,HUM
About how many soldiers died in World War II?,UNC
How much money does the Sultan of Brunei have?,DESC
How large is Missouri's population?,DESC
What was the death toll at the eruption of Mount Pinatubo?,UNC
Who was Lacan?,HUM
What's the tallest building in New York City?,UNC
When did Geraldine Ferraro run for vice president?,UNC
What do ladybugs eat?,UNC
Where is Ayer's rock?,LOC
What is the life expectancy of an elephant?,UNC
When was the first railroad from the east coast to the west coast completed?,UNC
What is the nickname of Pennsylvania?,UNC
Who is Desmond Tutu?,HUM
How fast can a Corvette go?,DESC
What are John C. Calhoun and Henry Clay known as?,UNC
When was Hurricane Hugo?,UNC
When did the Carolingian period begin? ,UNC
How big is Australia?,DESC
Who found Hawaii?,HUM
Who is the richest person in the world?,HUM
How many films did Ingmar Bergman make?,DESC
What is the federal minimum wage?,UNC
What did brontosauruses eat?,UNC
What is California's state tree?,UNC
How many types of lemurs are there?,DESC
What is leukemia?,UNC
Who was the first coach of the Cleveland Browns?,HUM
How many people die from snakebite poisoning in the U.S. per year?,DESC
Who is the prophet of the religion of Islam?,HUM
Where is Tornado Alley?,LOC
What is molybdenum?,UNC
Where do hyenas live?,LOC
Who is Peter Weir?,HUM
How many home runs did Babe Ruth hit in his lifetime?,DESC
Who was Buffalo Bill?,HUM
Where is the bridge over the river Kwai?,LOC
How many Superbowls have the 49ers won?,DESC
Who was the architect of Central Park?,HUM
Who invented paper?,HUM
What is Alice Cooper's real name?,UNC
Why can't ostriches fly?,DESC
Name a tiger that is extinct?,UNC
Where is Guam?,LOC
Where did Bill Gates go to college?,LOC
How many continents are there?,DESC
Where is Romania located?,LOC
When was the De Beers company founded?,UNC
Who was the first king of England?,HUM
Who is the richest woman in the world?,HUM
What is California's capital?,UNC
What is the size of Argentina?,UNC
What do manatees eat?,UNC
When was the San Francisco fire?,UNC
What was the man's name who was killed in a duel with Aaron Burr?,UNC
What is the population of Mexico?,UNC
When was the slinky invented?,UNC
How hot is the core of the earth?,DESC
How long would it take to get from Earth to Mars?,DESC
What is the name of the second space shuttle?,UNC
How old is the sun?,DESC
What is the wingspan of a condor?,UNC
When was Microsoft established?,UNC
What's the average salary of a professional baseball player?,UNC
Who invented basketball?,HUM
What was the ball game of ancient Mayans called?,UNC
Who is Zebulon Pike?,HUM
How wide is the Atlantic Ocean?,DESC
What effect does a prism have on light?,UNC
What's the longest river in the world?,UNC
Who was considered to be the father of psychology?,HUM
What is the population of Kansas?,UNC
Who is Langston Hughes?,HUM
Who was Monet?,HUM
Who built the first pyramid?,HUM
What is the best-selling book of all time?,UNC
How many Stradivarius violins were ever made?,DESC
Who is Charles Lindbergh?,HUM
Who invented the game bowling?,HUM
The numbering system we use today was introduced to the western world by what culture?,UNC
What is a nematode?,UNC
What is the most expensive car in the world?,UNC
Where does chocolate come from?,LOC
What state in the United States covers the largest area?,UNC
What is a meerkat?,UNC
Where is Melbourne?,LOC
How much in miles is a ten K run?,DESC
How hot does the inside of an active volcano get?,DESC
What is the capital of Burkina Faso?,UNC
What is the capital of Haiti?,UNC
How many people lived in Nebraska in the mid 1980s?,DESC
What is the population of Mozambique?	,UNC
Who won the Superbowl in 1982?,HUM
What is Martin Luther King Jr.'s real birthday?,UNC
Where is Trinidad?,LOC
Where did the Inuits live?,LOC
What is the most common cancer?,UNC
A corgi is a kind of what?,UNC
When was the Triangle Shirtwaist fire?,UNC
Where is the Kalahari desert?,LOC
What is porphyria?,UNC
What ocean did the Titanic sink in?,UNC
Who was the 33rd president of the United States?,HUM
At what speed does the Earth revolve around the sun?,UNC
Who is the emperor of Japan?,HUM
How big is our galaxy in diameter?,DESC
What language is mostly spoken in Brazil?,UNC
Who assassinated President McKinley?,HUM
When did Muhammad live?,UNC
What is the largest variety of cactus?,UNC
Who invented the radio?,HUM
Where are zebras most likely found?,LOC
What is anorexia nervosa?,UNC
What year did Montana become a state? ,UNC
What were the names of the three ships used by Columbus?,UNC
Who was the 21st U.S. President?,HUM
Where was John Adams born?,LOC
Who painted Olympia?,HUM
Who was Quetzalcoatl?,HUM
Where is your corpus callosum?,LOC
What is the longest word in the English language?,UNC
What is saltpeter?,UNC
Who invented silly putty?,HUM
When was the Brandenburg Gate in Berlin built?,UNC
When is Boxing Day?,UNC
What is the exchange rate between England and the U.S.?,UNC
What is the name of the Jewish alphabet?,UNC
Who was Maria Theresa?,HUM
What nationality was Jackson Pollock?,UNC
Tell me what city the Kentucky Horse Park is near?,UNC
What is the state nickname of Mississippi?,UNC
Who used to make cars with rotary engines?,HUM
What is the tallest mountain?,UNC
"What is Black Hills, South Dakota most famous for?",UNC
What kind of animal was Winnie the Pooh?,UNC
What's another name for aspartame?,UNC
What does hazmat stand for?,UNC
What tourist attractions are there in Reims?,UNC
Name a film in which Jude Law acted.,UNC
Where are the U.S. headquarters for Procter & Gamble?,LOC
What's the formal name for Lou Gehrig's disease?,UNC
What does CNN stand for?,UNC
When was CNN's first broadcast?,UNC
Who owns CNN?,HUM
What is the name of a Salt Lake City newspaper?,UNC
Who was Jane Goodall?,HUM
What is pandoro?,UNC
What is thalassemia?,UNC
When did Princess Diana and Prince Charles get married?,UNC
What soft drink contains the largest amount of caffeine?,UNC
What do you call a group of geese?,UNC
How many months does a normal human pregnancy last?,DESC
What format was VHS's main competition?,UNC
What culture developed the idea of potlatch?,UNC
Where is Logan International located?,LOC
What university was Woodrow Wilson President of?,UNC
Where is Basque country located?,LOC
What does CPR stand for?,UNC
What state produces the best lobster to eat?,UNC
Who was Darth Vader's son?,HUM
What is a nanometer?,UNC
How did Bob Marley die?,DESC
What instrument is Ray Charles best known for playing?,UNC
What is Dick Clark's birthday?,UNC
What is titanium?,UNC
"What is ""Nine Inch Nails""?",UNC
Where was Poe born?,LOC
What king was forced to agree to the Magna Carta?,UNC
What's the name of Pittsburgh's baseball team?,UNC
What is the chemical formula/name for napalm?,UNC
Where is the location of the Orange Bowl?,LOC
When was the last major eruption of Mount St. Helens?,UNC
What is the abbreviation for Original Equipment Manufacturer?,UNC
What is anise?,UNC
Where is Rider College located?,LOC
What does Nicholas Cage do for a living?,UNC
What does caliente mean (in English)?,UNC
Where is McCarren Airport?,LOC
"Who created ""The Muppets""?",HUM
When is Bastille Day?,UNC
What is the Islamic counterpart to the Red Cross?,UNC
What is Colin Powell best known for?,UNC
What is the busiest air travel season?,UNC
Where is Webster University?,LOC
What's the name of a golf course in Myrtle Beach?,UNC
When was John D. Rockefeller born?,UNC
Name a Gaelic language.,UNC
"Who was the author of the book about computer hackers called ""The Cuckoo's Egg: Tracking a Spy Through the Maze of Computer Espionage""?",HUM
What is measured in curies?,UNC
What is a stratocaster?,UNC
Where are the headquarters of Eli Lilly?,LOC
Where did Hillary Clinton graduate college?,LOC
Where is Glasgow?,LOC
Who was Samuel Johnsons's friend and biographer?,HUM
What is tyvek?,UNC
"Who coined the term ""cyberspace"" in his novel ""Neuromancer""?",HUM
Who is the president of Bolivia?,HUM
What year did Hitler die?,UNC
When did the American Civil War end?,UNC
Who created the character of Scrooge?,HUM
Who first broke the sound barrier?,HUM
What is the salary of a U.S. Representative?,UNC
Name one of the Seven Wonders of the Ancient World.,UNC
What are the birth dates for scorpios?,UNC
What is the airport code for Los Angeles International?,UNC
"Who provides telephone service in Orange County, California?",HUM
"What is the zip code for Fremont, CA?",UNC
Who shot Billy the Kid?,HUM
Who is the monarch of the United Kingdom?,HUM
What is sake?,UNC
"What is the name of the Lion King's son in the movie, ""The Lion King""?",UNC
Where is Amsterdam?,LOC
"How many states have a ""lemon law"" for new automobiles?",DESC
What was the name of the movie that starred Sharon Stone and Arnold Schwarzenegger?,UNC
What continent is Bolivia on?,UNC
What are the Poconos?,UNC
Where did guinea pigs originate?,LOC
Where did Woodstock take place?,LOC
What is the name of the vaccine for chicken pox?,UNC
What is Betsy Ross famous for?,UNC
"Who wrote the book, ""The Grinch Who Stole Christmas""?",HUM
"When did Aldous Huxley write, ""Brave New World""?",UNC
"Who wrote the book, ""Song of Solomon""?",HUM
"Who portrayed Jake in the television show, ""Jake and the Fatman""?",HUM
"Who portrayed Fatman in the television show, ""Jake and the Fatman""?",HUM
Where is Venezuela?,LOC
What city in Florida is Sea World in?,UNC
What is the population of Ohio?,UNC
What is one of the cities that the University of Minnesota is located in?,UNC
What kind of sports team is the Buffalo Sabres?,UNC
Who is the founder of the Wal-Mart stores?,HUM
What city is Massachusetts General Hospital located in?,UNC
"Who reports the weather on the ""Good Morning America"" television show?",HUM
When did the California lottery begin?,UNC
Where is Los Vegas?,LOC
When was Beethoven born?,UNC
What's the name of the tiger that advertises for Frosted Flakes cereal?,UNC
Where is Tufts University?,LOC
What movie did Madilyn Kahn star in with Gene Wilder?,UNC
When did the royal wedding of Prince Andrew and Fergie take place?,UNC
"What cereal goes ""snap, crackle, pop""?",UNC
For what disease is the drug Sinemet used as a treatment?,UNC
Who is Henry Butler?,HUM
What province is Edmonton located in?,UNC
In what area of the world was the Six Day War fought?,UNC
"What is the zip code for Parsippany, NJ?",UNC
When was the first Barbie produced?,UNC
"What was the distinguishing mark on the ""Little Rascals"" dog?",UNC
What does EKG stand for?,UNC
What is Chiricahua the name of?,UNC
Where did Wicca first develop?,LOC
Name a symptom of mononucleosis.,UNC
Where are diamonds mined?,LOC
When was the NFL established?,UNC
What are geckos?,UNC
Who is Terrence Malick?,HUM
"What other name were the ""Little Rascals"" known as?",UNC
"What was the name of the ""Little Rascals"" dog?",UNC
"What breed of dog was the ""Little Rascals"" dog?",UNC
Who won the rugby world cup in 1987?,HUM
Where is Windsor Castle?,LOC
"Who portrayed ""Rosanne Rosanna-Dana"" on the television show ""Saturday Night Live""?",HUM
What is the population of the United States?,UNC
What animal do buffalo wings come from?,UNC
When was the bar-code invented?,UNC
What is witch hazel?,UNC
What's the abbreviation for limited partnership?,UNC
What was the purpose of the Manhattan project?,UNC
What is the most common kind of skin cancer in the U.S.?,UNC
Name a civil war battlefield.,UNC
What are pomegranates?,UNC
"Who wrote the song, ""Silent Night""?",HUM
"Who portrayed ""the man without a face"" in the movie of the same name?",HUM
When was the Hoover Dam constructed?,UNC
What's the most famous tourist attraction in Rome?,UNC
"At Christmas time, what is the traditional thing to do under the mistletoe?",UNC
What is the Pennsylvania state income tax rate?,UNC
What is the name of the Michelangelo painting that shows two hands with fingers touching?,UNC
What caused the Lynmouth floods?,UNC
"What is the name of the company that manufactures the ""American Girl"" doll collection?",UNC
How many zip codes are there in the U.S.?,DESC
What was the name of the Titanic's captain?,UNC
How many copies of an album must be sold for it to be a gold album?,DESC
When is the Tulip Festival in Michigan?,UNC
What is Giorgio Vasari famous for?,UNC
Who created the character James Bond?,HUM
What store does Martha Stewart advertise for?,UNC
Name an American made motorcycle.,UNC
What Cruise Line does Kathie Lee Gifford advertise for?,UNC
"Name a movie that the actress, Sandra Bullock, had a role in.",UNC
Where is the Thomas Edison Museum?,LOC
What is TCI?,UNC
What state does MO stand for?,UNC
Name a female figure skater.,UNC
What state is the Filenes store located in?,UNC
How much calcium should an adult female have daily?,DESC
What hockey team did Wayne Gretzky play for?,UNC
What hair color can I use to just cover a little gray?,UNC
How long would it take for a $50 savings bond to mature?,DESC
How many home runs did Lou Gehrig have during his career?,DESC
How many states have a lottery?,DESC
What kind of a sports team is the Wisconsin Badgers?,UNC
What is the name of Joan Jett's band?,UNC
"Can you give me the name of a clock maker in London, England?",UNC
What was the name of the sitcom that Alyssa Milano starred in with Tony Danza?,UNC
"What is the real name of the singer, Madonna?",UNC
Where did yoga originate?,LOC
What flower did Vincent Van Gogh paint?,UNC
What radio station did Paul Harvey work for?,UNC
What's the name of the song Will Smith sings about parents?,UNC
What does NASA stand for?,UNC
What famous model was married to Billy Joel?,UNC
What is the chemical symbol for nitrogen?,UNC
In what book can I find the story of Aladdin?,UNC
When did World War I start?,UNC
What state is Niagra Falls located in?,UNC
"What's the name of the actress who starred in the movie, ""Silence of the Lambs""?",UNC
Who owns the St. Louis Rams?,HUM
Where could I go to take a ride on a steam locomotive?,LOC
"When was the movie, Caligula, made?",UNC
Name an American war plane?,UNC
Where is Burma?,LOC
How many highway miles to the gallon can you get with the Ford Fiesta?,DESC
Name a novel written by John Steinbeck.,UNC
"Who wrote the song, ""Boys of Summer""?",HUM
What is the mascot for Notre Dame University?,UNC
What is typhoid fever?,UNC
When did the neanderthal man live?,UNC
"Who manufactures the software, ""PhotoShop""?",HUM
"How many casinos are in Atlantic City, NJ?",DESC
What state does Martha Stewart live in?,UNC
Who was the first woman in space?,HUM
What are Cushman and Wakefield known for?,UNC
What is D.B. Cooper known for?,UNC
When was Nostradamus born?,UNC
"When was ""the Great Depression""?",UNC
What is Archimedes famous for?,UNC
What is the medical condition of hypertension?,UNC
"Who created the comic strip, ""Garfield""?",HUM
Where is the Isle of Man?,LOC
"Who wrote the book, ""Huckleberry Finn""?",HUM
"What day is known as the ""national day of prayer""?",UNC
What is the purpose of a car bra?,UNC
What are chloroplasts?,UNC
What is the name of the art of growing miniature trees?,UNC
What is the telephone number for the University of Kentucky?,UNC
"Who wrote ""The Scarlet Letter""?",HUM
Name an art gallery in New York.,UNC
What type of hunting are retrievers used for?,UNC
What party was Winston Churchill a member of?,UNC
How was Teddy Roosevelt related to FDR?,DESC
When did the Chernobyl nuclear accident occur?,UNC
What does SIDS stand for?,UNC
"What's the name of the star of the cooking show, ""Galloping Gourmet""?",UNC
What city is 94.5 KDGE Radio located in?,UNC
What President became Chief Justice after his presidency?,UNC
How tall is kilamanjaro?,DESC
Who won the nobel prize in literature in 1988?,HUM
What's the name of the Tampa newspaper?,UNC
How long do hermit crabs live?,DESC
What is Dr. Ruth's last name?,UNC
What is cribbage?,UNC
Italy is the largest producer of what?,UNC
"What wrestling star became ""The Incredible Hulk""?",UNC
"Who wrote ""The Pit and the Pendulum""?",HUM
Who manufacturers Magic Chef applicances?,HUM
When was the first Wall Street Journal published?,UNC
What is the normal resting heart rate of a healthy adult?,UNC
Who's the lead singer of the Led Zeppelin band?,UNC
"Who wrote ""An Ideal Husband""?",HUM
What is ouzo?,UNC
When did the Dow first reach 2000?,UNC
Who was Charles Lindbergh's wife?,HUM
"How many miles is it from London, England to Plymouth, England?",DESC
Who is Secretary-General of the United Nations?,HUM
Who played the teacher in Dead Poet's Society?,HUM
How many counties are in Indiana?,DESC
"What actress starred in ""The Lion in Winter""?",UNC
Where was Tesla born?,LOC
What's the name of a hotel in Indianapolis?,UNC
What U.S. Government agency registers trademarks?,UNC
Who started the Dominos Pizza chain?,HUM
What is the hair style called that new military recruits receive?,UNC
In what country is a stuck-out tongue a friendly greeting?,UNC
Where is Kings Canyon?,LOC
Where is the Mayo Clinic?,LOC
How big is the Electoral College?,DESC
How much does one ton of cement cost?,DESC
Where does Mother Angelica live?,LOC
How many people watch network television?,DESC
What is the name of a Greek god?,UNC
What year was the first automobile manufactured?,UNC
What's the population of Mississippi?,UNC
What was the name of Jacques Cousteau's ship?,UNC
What are the names of Jacques Cousteau's two sons?,UNC
What is Java?,UNC
What does Final Four refer to in the sports world?,UNC
What does Knight Ridder publish?,UNC
What task does the Bouvier breed of dog perform?,UNC
What sport do the Cleaveland Cavaliers play?,UNC
What year was the Avery Dennison company founded?,UNC
"What's the population of Biloxi, Mississippi?",UNC
Name a ballet company Mikhail Baryshnikov has danced for?,UNC
"What was the name of the television show, staring Karl Malden, that had San Francisco in the title?",UNC
Who was the founding member of the Pink Floyd band?,HUM
What did Delilah do to Samson's hair?,UNC
What's the name of the Tokyo Stock Exchange?,UNC
What actor first portrayed James Bond?,UNC
What type of horses appear on the Budweiser commercials?,UNC
What do river otters eat?,UNC
When did the art of quilting begin?,UNC
When did Amtrak begin operations?,UNC
Where is the Smithsonian Institute located?,LOC
What year did the Vietnam War end?,UNC
What country are Godiva chocolates from?,UNC
How many islands does Fiji have?,DESC
What card company sells Christmas ornaments?,UNC
Who manufactures synthroid?,HUM
What year was Desmond Mpilo Tutu awarded the Nobel Peace Prize?,UNC
What city did the Flintstones live in?,UNC
Who was the oldest U.S. president?,HUM
Who was the tallest U.S. president?,HUM
Where is Santa Lucia?,LOC
"Which U.S. President is buried in Washington, D.C.?",UNC
Where is Ocho Rios?,LOC
What year was Janet Jackson's first album released?,UNC
What is another name for nearsightedness?,UNC
Winnie the Pooh is what kind of animal?  ,UNC
What species was Winnie the Pooh?,UNC
Winnie the Pooh is an imitation of which animal?,UNC
What was the species of Winnie the Pooh?,UNC
Aspartame is also known as what?,UNC
What is a synonym for aspartame?,UNC
Aspartame is known by what other name?,UNC
Aspartame is also called what?,UNC
Hazmat stands for what?,UNC
What is the definition of hazmat?,UNC
What are the names of the tourist attractions in Reims?,UNC
What do most tourists visit in Reims?,UNC
What attracts tourists to Reims?,UNC
What are tourist attractions in Reims?,UNC
What could I see in Reims?,UNC
What is worth seeing in Reims?,UNC
What can one see in Reims?,UNC
Jude Law was in what movie?,UNC
Jude Law acted in which film?,UNC
What is a film starring Jude Law?,UNC
What film was Jude Law in?,UNC
What film or films has Jude Law appeared in?,UNC
What city houses the U.S. headquarters of Procter and Gamble?,UNC
Where is Procter & Gamble headquartered in the U.S.?,LOC
What is the U.S. location of Procter & Gamble corporate offices?,UNC
Procter & Gamble is headquartered in which U.S. city?,UNC
Where is Procter & Gamble based in the U.S.?,LOC
What is the recommended daily requirement for folic acid for pregnant women?,UNC
How much folic acid should a pregnant woman get each day?,DESC
What is the daily requirement of folic acid for an expectant mother?,UNC
What amount of folic acid should an expectant mother take daily?,UNC
Name the first Russian astronaut to do a spacewalk.,UNC
Who was the first Russian astronaut to walk in space?,HUM
Who was the first Russian to do a spacewalk?,HUM
CNN is the abbreviation for what?,UNC
CNN is an acronym for what?,UNC
What was the date of CNN's first broadcast?,UNC
CNN began broadcasting in what year?,UNC
CNN's first broadcast occurred on what date?,UNC
When did CNN begin broadcasting?,UNC
When did CNN go on the air?,UNC
Who is the owner of CNN?,HUM
CNN is owned by whom?,UNC
What newspaper serves Salt Lake City?,UNC
Name a Salt Lake City newspaper.,UNC
What is Jane Goodall famous for?,UNC
What is Jane Goodall known for?,UNC
Why is Jane Goodall famous?,DESC
What made Jane Goodall famous?,UNC
Define thalassemia.,UNC
What is the meaning of thalassemia?,UNC
How is thalassemia defined?,DESC
What soft drink is most heavily caffeinated?,UNC
What is the most heavily caffeinated soft drink?,UNC
"To get the most caffeine, what soda should I drink?",UNC
Which type of soda has the greatest amount of caffeine?,UNC
What soft drink would provide me with the biggest intake of caffeine?,UNC
What is the collective term for geese?,UNC
What is the collective noun for geese?,UNC
What is the term for a group of geese?,UNC
What is the name given to a group of geese?,UNC
What is the gestation period for human pregnancies?,UNC
How long is human gestation?,DESC
What is the gestation period for humans?,UNC
A normal human pregnancy lasts how many months?,UNC
What was the alternate to VHS?,UNC
What video format was an alternative to VHS?,UNC
